Month,Year,Date,AVG AQI,AVG PM2.5,Vehicle Miles,Heating Degree Days,Cooling Degree days,Heating+Cooling Degree Days,Labor Force
1,2014,1/1/2014,30.38,7.50,226413,1154,0,1154,1434057
2,2014,2/1/2014,48.16,13.30,213949,1043,0,1043,1447607
3,2014,3/1/2014,55.49,15.98,253424,690,0,690,1449663
4,2014,4/1/2014,35.04,8.68,256736,221,37,258,1452035
5,2014,5/1/2014,39.70,9.78,266237,79,225,304,1456304
6,2014,6/1/2014,40.79,10.25,263459,0,398,398,1468342
7,2014,7/1/2014,43.03,11.21,270053,0,362,362,1474911
8,2014,8/1/2014,55.36,15.14,268831,0,483,483,1452719
9,2014,9/1/2014,43.37,11.09,247688,39,193,232,1442626
10,2014,10/1/2014,30.77,7.54,265144,197,34,231,1448622
11,2014,11/1/2014,37.93,9.43,241451,721,0,721,1443359
12,2014,12/1/2014,43.56,11.34,252271,804,0,804,1437355
1,2015,1/1/2015,37.97,9.35,233498,978,0,978,1439417
2,2015,2/1/2015,45.34,11.38,217220,1063,0,1063,1446136
3,2015,3/1/2015,44.17,11.42,258017,569,0,569,1449321
4,2015,4/1/2015,34.66,8.66,262817,161,25,186,1458080
5,2015,5/1/2015,34.88,8.55,270839,50,199,249,1470231
6,2015,6/1/2015,39.18,9.66,270574,3,390,393,1477159
7,2015,7/1/2015,49.62,13.41,278372,0,490,490,1483850
8,2015,8/1/2015,43.25,11.02,272209,0,403,403,1467796
9,2015,9/1/2015,45.39,12.01,255090,6,314,320,1457606
10,2015,10/1/2015,35.54,8.88,268469,163,51,214,1460706
11,2015,11/1/2015,39.38,10.09,248843,393,1,394,1459769
12,2015,12/1/2015,35.33,8.93,259424,597,0,597,1459506
1,2016,1/1/2016,38.72,9.79,239679,959,0,959,1458261
2,2016,2/1/2016,40.23,10.26,223011,712,0,712,1466352
3,2016,3/1/2016,34.25,8.48,265147,373,8,381,1466981
4,2016,4/1/2016,32.04,7.73,269653,198,52,250,1467300
5,2016,5/1/2016,30.46,7.40,277972,83,134,217,1474259
6,2016,6/1/2016,35.81,8.70,276991,0,495,495,1492434
7,2016,7/1/2016,37.78,9.58,285160,0,522,522,1493907
8,2016,8/1/2016,34.17,8.43,279213,0,494,494,1480964
9,2016,9/1/2016,34.89,8.71,262039,4,324,328,1467393
10,2016,10/1/2016,36.64,9.00,275610,87,110,197,1471106
11,2016,11/1/2016,40.47,10.18,255154,400,23,423,1459513
12,2016,12/1/2016,34.25,8.47,264778,931,0,931,1457498
1,2017,1/1/2017,36.81,9.14,242600,830,0,830,1446579
2,2017,2/1/2017,39.47,9.95,225644,481,2,483,1452755
3,2017,3/1/2017,32.11,7.77,268343,467,6,473,1450548
4,2017,4/1/2017,27.40,6.58,272864,140,67,207,1455954
5,2017,5/1/2017,32.71,7.97,281264,57,177,234,1459261
6,2017,6/1/2017,31.25,7.70,280290,0,409,409,1473172
7,2017,7/1/2017,40.15,9.97,288566,0,603,603,1484886
8,2017,8/1/2017,34.59,8.34,282558,0,338,338,1467663
9,2017,9/1/2017,40.70,10.15,265212,7,262,269,1459920
10,2017,10/1/2017,31.32,7.77,278888,195,95,290,1449643
11,2017,11/1/2017,39.39,9.66,258159,500,0,500,1449370
12,2017,12/1/2017,35.75,8.98,267958,928,0,928,1445785
1,2018,1/1/2018,36.93,9.09,244736,1091,0,1091,1445561
2,2018,2/1/2018,37.61,9.50,227759,750,0,750,1454603
3,2018,3/1/2018,38.00,9.73,270705,674,0,674,1457437
4,2018,4/1/2018,33.00,7.98,275127,460,13,473,1458897
5,2018,5/1/2018,40.56,9.85,283713,0,330,330,1462251
6,2018,6/1/2018,40.06,9.86,282648,0,466,466,1478932
7,2018,7/1/2018,38.91,9.94,290989,0,485,485,1489467
8,2018,8/1/2018,44.57,11.25,284989,0,462,462,1461600
9,2018,9/1/2018,34.02,8.27,267434,7,309,316,1458863
10,2018,10/1/2018,28.26,6.81,281382,276,117,393,1460731
11,2018,11/1/2018,37.77,9.51,260473,779,0,779,1456436
12,2018,12/1/2018,38.89,9.86,270370,798,0,798,1459970
1,2019,1/1/2019,39.23,9.77,248927,1055,0,1055,1460264
2,2019,2/1/2019,42.41,10.76,231791,839,0,839,1471387
3,2019,3/1/2019,40.24,10.34,272379,686,0,686,1469652
4,2019,4/1/2019,32.47,8.06,273413,220,31,251,1468406
5,2019,5/1/2019,31.86,7.72,289711,86,181,267,1472293
6,2019,6/1/2019,32.56,7.84,281359,1,315,316,1492284
7,2019,7/1/2019,41.36,10.55,291520,0,513,513,1506583
8,2019,8/1/2019,31.72,7.63,293308,0,419,419,1487478
9,2019,9/1/2019,39.16,9.63,273319,0,394,394,1486043
10,2019,10/1/2019,26.32,6.30,283961,274,44,318,1486460
11,2019,11/1/2019,38.15,9.73,260326,693,0,693,1487126
12,2019,12/1/2019,46.27,12.40,261757,776,0,776,1482424
1,2020,1/1/2020,37.60,9.43,260847,902,0,902,1477266
2,2020,2/1/2020,33.59,8.17,242695,799,0,799,1478823
3,2020,3/1/2020,34.45,8.63,226638,441,7,448,1454645
4,2020,4/1/2020,29.51,7.13,167617,326,24,350,1374078
5,2020,5/1/2020,26.47,6.40,221006,116,116,232,1375480
6,2020,6/1/2020,36.78,9.27,250330,0,418,418,1453549
7,2020,7/1/2020,38.65,10.19,265550,0,538,538,1497951
8,2020,8/1/2020,35.14,8.58,265060,0,396,396,1476036
9,2020,9/1/2020,36.82,9.07,257531,20,204,224,1456469
10,2020,10/1/2020,34.59,8.69,266596,308,51,359,1457486
11,2020,11/1/2020,33.31,8.15,238300,417,10,427,1450436
12,2020,12/1/2020,46.26,12.28,241451,830,0,830,1453713
1,2021,1/1/2021,37.60,9.36,224959,929,0,929,1444065
2,2021,2/1/2021,38.82,9.57,207160,1075,0,1075,1453883
3,2021,3/1/2021,34.17,8.45,262065,394,1,395,1449849
4,2021,4/1/2021,32.35,8.02,252218,263,34,297,1451895
5,2021,5/1/2021,31.79,7.72,276639,120,139,259,1454847
6,2021,6/1/2021,37.24,9.17,279209,0,422,422,1467344
7,2021,7/1/2021,51.74,14.28,288443,0,458,458,1478796
8,2021,8/1/2021,46.26,11.96,279596,0,507,507,1459761
9,2021,9/1/2021,36.94,9.14,270461,3,307,310,1455712
10,2021,10/1/2021,30.61,7.45,277877,136,108,244,1456610
11,2021,11/1/2021,35.23,9.00,260433,542,0,542,1457673
12,2021,12/1/2021,40.51,10.20,261028,554,1,555,1450484
1,2022,1/1/2022,37.76,9.47,236055,1096,0,1096,1449757
2,2022,2/1/2022,35.52,8.79,231137,846,0,846,1448168
3,2022,3/1/2022,29.87,7.29,271869,484,2,486,1457329
4,2022,4/1/2022,28.82,7.04,258001,280,34,314,1454313
5,2022,5/1/2022,33.43,8.47,282678,62,199,261,1461058
6,2022,6/1/2022,39.47,10.22,277059,0,433,433,1470578
7,2022,7/1/2022,39.23,9.69,281976,0,561,561,1486674
8,2022,8/1/2022,34.62,8.37,284347,0,465,465,1472089
9,2022,9/1/2022,33.42,8.10,275638,29,231,260,1458677
10,2022,10/1/2022,35.29,8.77,280673,221,33,254,1468328
11,2022,11/1/2022,36.48,9.12,258728,543,19,562,1460443
12,2022,12/1/2022,38.51,9.81,258030,899,0,899,1456670
1,2023,1/1/2023,36.43,9.06,249210,785,0,785,1447851
2,2023,2/1/2023,34.69,8.47,235507,604,0,604,1461843
3,2023,3/1/2023,34.34,8.44,273673,590,3,593,1473318
4,2023,4/1/2023,31.97,7.84,258252,221,33,254,1480231
5,2023,5/1/2023,41.13,10.27,289706,30,185,215,1483815
6,2023,6/1/2023,60.75,17.65,285573,0,371,371,1497800
7,2023,7/1/2023,41.50,10.53,289864,0,520,520,1518965
