,,,,,,,,,,,,,,,
,,Jan,Feb,March,April,May,June,July,August,September,October,November,December,,
,2010,1164,960,496,101,61,0,0,0,14,148,477,1069,,1164
,2011,1149,788,558,170,125,0,0,0,56,176,424,741,,960
,2012,828,677,191,194,8,5,0,0,31,282,566,720,,496
,2013,903,815,753,315,102,1,0,0,3,240,627,970,,101
,2014,1154,1043,690,221,79,0,0,0,39,197,721,804,,61
,2015,978,1063,569,161,50,3,0,0,6,163,393,597,,0
,2016,959,712,373,198,83,0,0,0,4,87,400,931,,0
,2017,830,481,467,140,57,0,0,0,7,195,500,928,,0
,2018,1091,750,674,460,0,0,0,0,7,276,779,798,,14
,2019,1055,839,686,220,86,1,0,0,0,274,693,776,,148
,2020,902,799,441,326,116,0,0,0,20,308,417,830,,477
,2021,929,1075,394,263,120,0,0,0,3,136,542,554,,1069
,2022,1096,846,484,280,62,0,0,0,29,221,543,899,,1149
,2023,785,604,590,221,30,0,0,0,0,189,463,611,,788
,2024,1020,523,,,,,,,,,,,,558
,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,176
,,,,,,,,,,,,,,,424
,,,,,,,,,,,,,,,741
,,,,,,,,,,,,,,,828
,,,,,,,,,,,,,,,677
,,,,,,,,,,,,,,,191
,,,,,,,,,,,,,,,194
,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,282
,,,,,,,,,,,,,,,566
,,,,,,,,,,,,,,,720
,,,,,,,,,,,,,,,903
,,,,,,,,,,,,,,,815
,,,,,,,,,,,,,,,753
,,,,,,,,,,,,,,,315
,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,240
,,,,,,,,,,,,,,,627
,,,,,,,,,,,,,,,970
,,,,,,,,,,,,,,,1154
,,,,,,,,,,,,,,,1043
,,,,,,,,,,,,,,,690
,,,,,,,,,,,,,,,221
,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,721
,,,,,,,,,,,,,,,804
,,,,,,,,,,,,,,,978
,,,,,,,,,,,,,,,1063
,,,,,,,,,,,,,,,569
,,,,,,,,,,,,,,,161
,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,163
,,,,,,,,,,,,,,,393
,,,,,,,,,,,,,,,597
,,,,,,,,,,,,,,,978
,,,,,,,,,,,,,,,1063
,,,,,,,,,,,,,,,569
,,,,,,,,,,,,,,,161
,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,163
,,,,,,,,,,,,,,,393
,,,,,,,,,,,,,,,597
,,,,,,,,,,,,,,,959
,,,,,,,,,,,,,,,712
,,,,,,,,,,,,,,,373
,,,,,,,,,,,,,,,198
,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,,400
,,,,,,,,,,,,,,,931
,,,,,,,,,,,,,,,830
